forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2023-11-08,DAX,1 day,-2.0133495198605336,-0.4221084017224337,0.043920883261475745,0.4944093081480954,1.619110860997984
2023-11-08,DAX,2 day,-2.1488096196720714,-0.3646887099192333,0.20820710746083293,0.6189175920712751,2.0039755220613102
2023-11-08,DAX,5 day,-3.068037428967281,-1.1484499881691619,-0.49213631901135263,-0.009976456664914141,1.3022619431516487
2023-11-08,DAX,6 day,-2.698921033835505,-0.6819577259886871,0.009346930328038476,0.4503227617837107,1.9786168678290024
2023-11-08,DAX,7 day,0.12216000263915873,1.768736347259426,2.5427359456995626,3.0201017397293346,4.63127296223481
2023-11-08,energy,36 hour,46.38525,50.4934375,52.21975,55.890812499999996,63.83731875
2023-11-08,energy,40 hour,39.078100000000006,41.3224375,43.72687500000001,46.850875,54.82284374999999
2023-11-08,energy,44 hour,42.996975,50.9161875,54.084625,58.134375000000006,66.30961874999998
2023-11-08,energy,60 hour,45.57765,47.69375,50.187375,54.1789375,60.93673125
2023-11-08,energy,64 hour,36.3842875,38.915625,41.102875,45.691,51.54051875
2023-11-08,energy,68 hour,37.953481249999996,40.36625,42.657375,46.323875,52.2086
2023-11-08,infections,0 week,NA,NA,NA,NA,NA
2023-11-08,infections,1 week,NA,NA,NA,NA,NA
2023-11-08,infections,2 week,NA,NA,NA,NA,NA
2023-11-08,infections,3 week,NA,NA,NA,NA,NA
2023-11-08,infections,4 week,NA,NA,NA,NA,NA

