,forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975,actual_forecast_date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ret1,ret2,ret3,ret4,ret5,lag_ret1,lag_ret2,lag_ret3,lag_ret4,lag_ret5,score
0,2023-01-01,DAX,1 day,-3.3212652715215762,-0.551382771440112,0.06096872514413931,0.7208725693882645,2.719772003602724,2023-01-02 00:00:00+01:00,13992.7099609375,14095.91015625,13976.4404296875,14069.259765625,34978500.0,0.0,0.0,1.0407746180439048,-0.017483122394068573,1.0263414107013702,0.5285018473111691,0.9163163730789847,13923.58984375,14071.7197265625,13925.599609375,13995.099609375,13940.9296875,2.5577895243814495
1,2023-01-01,DAX,2 day,-4.087894963565497,-0.8232496811426682,0.0723551404992584,0.9874199247088988,3.5704923267932855,2023-01-03 00:00:00+01:00,14116.0703125,14293.8701171875,14083.759765625,14181.669921875,57907500.0,0.0,0.0,0.7958021257238101,1.836576743767715,0.7783190033297416,1.8221435364251803,1.3243039730349793,14069.259765625,13923.58984375,14071.7197265625,13925.599609375,13995.099609375,2.0117011526682744
2,2023-01-01,DAX,5 day,-5.259160853138978,-0.9176545001813086,0.16179836530589853,1.2242848193747768,4.628696965151875,2023-01-06 00:00:00+01:00,14476.7197265625,14610.23046875,14388.98046875,14610.01953125,55433700.0,0.0,0.0,1.19610317247556,0.8194958621622561,2.9757282433161336,3.7715303690399438,4.812304987083849,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,13923.58984375,2.599667357862247
3,2023-01-01,DAX,6 day,-6.282628800683585,-1.044070446622447,0.1860695241679977,1.4408152518611494,5.367396415217598,2023-01-07 00:00:00+01:00,,,,,,,,,,,,,,,,,,
4,2023-01-01,DAX,7 day,-6.735741964137194,-1.0916464986804097,0.3261898885072334,1.573728977838229,6.259934085874841,2023-01-08 00:00:00+01:00,,,,,,,,,,,,,,,,,,
0,2023-01-01,DAX,1 day,-3.3212652715215762,-0.5496401384299521,0.057215117886944,0.715600117012638,2.719772003602724,2023-01-02 00:00:00+01:00,13992.7099609375,14095.91015625,13976.4404296875,14069.259765625,34978500.0,0.0,0.0,1.0407746180439048,-0.017483122394068573,1.0263414107013702,0.5285018473111691,0.9163163730789847,13923.58984375,14071.7197265625,13925.599609375,13995.099609375,13940.9296875,2.5685804936970045
1,2023-01-01,DAX,2 day,-4.087894963565497,-0.8232496811426682,0.077741433828038,0.9789771416987225,3.5704923267932855,2023-01-03 00:00:00+01:00,14116.0703125,14293.8701171875,14083.759765625,14181.669921875,57907500.0,0.0,0.0,0.7958021257238101,1.836576743767715,0.7783190033297416,1.8221435364251803,1.3243039730349793,14069.259765625,13923.58984375,14071.7197265625,13925.599609375,13995.099609375,2.0020934678344067
2,2023-01-01,DAX,5 day,-5.259160853138978,-0.9176545001813086,0.13929559187957352,1.2095309770987495,4.628696965151875,2023-01-06 00:00:00+01:00,14476.7197265625,14610.23046875,14388.98046875,14610.01953125,55433700.0,0.0,0.0,1.19610317247556,0.8194958621622561,2.9757282433161336,3.7715303690399438,4.812304987083849,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,13923.58984375,2.6147932101505584
3,2023-01-01,DAX,6 day,-6.282628800683585,-1.044070446622447,0.18515619775909542,1.4357212172448897,5.367396415217598,2023-01-07 00:00:00+01:00,,,,,,,,,,,,,,,,,,
4,2023-01-01,DAX,7 day,-6.735741964137194,-1.0916464986804097,0.3261898885072334,1.5530097315396674,6.259934085874841,2023-01-08 00:00:00+01:00,,,,,,,,,,,,,,,,,,
0,2023-01-01,DAX,1 day,-3.3212652715215762,-0.5528467048651731,0.05543222958364069,0.7175342639578197,2.719772003602724,2023-01-02 00:00:00+01:00,13992.7099609375,14095.91015625,13976.4404296875,14069.259765625,34978500.0,0.0,0.0,1.0407746180439048,-0.017483122394068573,1.0263414107013702,0.5285018473111691,0.9163163730789847,13923.58984375,14071.7197265625,13925.599609375,13995.099609375,13940.9296875,2.5690654448001458
1,2023-01-01,DAX,2 day,-4.087894963565497,-0.8411690830140373,0.077741433828038,0.9760606891150214,3.5704923267932855,2023-01-03 00:00:00+01:00,14116.0703125,14293.8701171875,14083.759765625,14181.669921875,57907500.0,0.0,0.0,0.7958021257238101,1.836576743767715,0.7783190033297416,1.8221435364251803,1.3243039730349793,14069.259765625,13923.58984375,14071.7197265625,13925.599609375,13995.099609375,2.0095949424782407
2,2023-01-01,DAX,5 day,-5.259160853138978,-0.926504351003743,0.1355654634089376,1.194919287270979,4.628696965151875,2023-01-06 00:00:00+01:00,14476.7197265625,14610.23046875,14388.98046875,14610.01953125,55433700.0,0.0,0.0,1.19610317247556,0.8194958621622561,2.9757282433161336,3.7715303690399438,4.812304987083849,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,13923.58984375,2.618010189527688
3,2023-01-01,DAX,6 day,-6.282628800683585,-1.0556477283270471,0.17866593171165235,1.4269866936728715,5.367396415217598,2023-01-07 00:00:00+01:00,,,,,,,,,,,,,,,,,,
4,2023-01-01,DAX,7 day,-6.735741964137194,-1.0947540177613124,0.3006949985365104,1.5182407631244121,6.259934085874841,2023-01-08 00:00:00+01:00,,,,,,,,,,,,,,,,,,
0,2023-01-02,DAX,1 day,-3.3212652715215762,-0.551382771440112,0.06096872514413931,0.7208725693882645,2.719772003602724,2023-01-03 00:00:00+01:00,14116.0703125,14293.8701171875,14083.759765625,14181.669921875,57907500.0,0.0,0.0,0.7958021257238101,1.836576743767715,0.7783190033297416,1.8221435364251803,1.3243039730349793,14069.259765625,13923.58984375,14071.7197265625,13925.599609375,13995.099609375,1.8228720474211655
1,2023-01-02,DAX,2 day,-4.087894963565497,-0.8232496811426682,0.0723551404992584,0.9874199247088988,3.5704923267932855,2023-01-04 00:00:00+01:00,14266.98046875,14492.7802734375,14264.599609375,14490.7802734375,76221600.0,0.0,0.0,2.1562323811538775,2.9520345068776876,3.9928091249215925,2.934551384483619,3.978375917579058,14181.669921875,14069.259765625,13923.58984375,14071.7197265625,13925.599609375,5.709756320988299
2,2023-01-02,DAX,5 day,-5.259160853138978,-0.9176545001813086,0.16179836530589853,1.2242848193747768,4.628696965151875,2023-01-07 00:00:00+01:00,,,,,,,,,,,,,,,,,,
3,2023-01-02,DAX,6 day,-6.282628800683585,-1.044070446622447,0.1860695241679977,1.4408152518611494,5.367396415217598,2023-01-08 00:00:00+01:00,,,,,,,,,,,,,,,,,,
4,2023-01-02,DAX,7 day,-6.735741964137194,-1.0916464986804097,0.3261898885072334,1.573728977838229,6.259934085874841,2023-01-09 00:00:00+01:00,14650.73046875,14832.8896484375,14628.6103515625,14792.830078125,64976500.0,0.0,0.0,1.2435046600566935,2.4396078325322534,2.0630005222189496,4.219232903372827,5.015035029096637,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,2.8997863123093817
0,2023-01-02,DAX,1 day,-3.3212652715215762,-0.5496401384299521,0.057215117886944,0.715600117012638,2.719772003602724,2023-01-03 00:00:00+01:00,14116.0703125,14293.8701171875,14083.759765625,14181.669921875,57907500.0,0.0,0.0,0.7958021257238101,1.836576743767715,0.7783190033297416,1.8221435364251803,1.3243039730349793,14069.259765625,13923.58984375,14071.7197265625,13925.599609375,13995.099609375,1.8336630167367205
1,2023-01-02,DAX,2 day,-4.087894963565497,-0.8232496811426682,0.077741433828038,0.9789771416987225,3.5704923267932855,2023-01-04 00:00:00+01:00,14266.98046875,14492.7802734375,14264.599609375,14490.7802734375,76221600.0,0.0,0.0,2.1562323811538775,2.9520345068776876,3.9928091249215925,2.934551384483619,3.978375917579058,14181.669921875,14069.259765625,13923.58984375,14071.7197265625,13925.599609375,5.7170342021747835
2,2023-01-02,DAX,5 day,-5.259160853138978,-0.9176545001813086,0.13929559187957352,1.2095309770987495,4.628696965151875,2023-01-07 00:00:00+01:00,,,,,,,,,,,,,,,,,,
3,2023-01-02,DAX,6 day,-6.282628800683585,-1.044070446622447,0.18515619775909542,1.4357212172448897,5.367396415217598,2023-01-08 00:00:00+01:00,,,,,,,,,,,,,,,,,,
